"variable","indicator","source","frequency","transform"
"cyber_incidents","INCIDENTS_OPEN","Open incidents source","annual","none"
"cyber_incidents_log","INCIDENTS_OPEN","Open incidents source","annual","none"
"employment_ratio","SL.EMP.TOTL.SP.ZS","World Development Indicators","annual","none"
"gcf_gdp","NE.GDI.TOTL.ZS","World Development Indicators","annual","none"
"gci_overall","GCI_OPEN","ITU GCI tier extraction","annual","none"
"gci_overall_imputed","GCI_OPEN","Derived: linear interpolation between GCI 2020 and 2024 anchor years","annual","flag"
"gci_tier","GCI_OPEN","ITU GCI tier extraction","annual","none"
"gdp_growth","NY.GDP.MKTP.KD.ZG","World Development Indicators","annual","none"
"gdp_per_person_employed","SL.GDP.PCAP.EM.KD","World Development Indicators","annual","none"
"income_group","WB_COUNTRY_METADATA","World Bank country metadata endpoint","latest available","none"
"income_group_model","WB_COUNTRY_METADATA","World Bank country metadata endpoint","latest available","High income / Upper middle income / Lower income pooled"
"inflation_cpi","FP.CPI.TOTL.ZG","World Development Indicators","annual","none"
"internet_users_pct","IT.NET.USER.ZS","World Development Indicators","annual","none"
"lending_type","WB_COUNTRY_METADATA","World Bank country metadata endpoint","latest available","none"
"population_total","SP.POP.TOTL","World Development Indicators","annual","none"
"trade_gdp","NE.TRD.GNFS.ZS","World Development Indicators","annual","none"
"wb_region","WB_COUNTRY_METADATA","World Bank country metadata endpoint","latest available","none"
