"iso3c","year","country","cyber_incidents","cyber_incidents_log"
"ABW",2021,"Aruba",3,1.38629436111989
"AFG",2016,"Afghanistan",13,2.63905732961526
"AFG",2017,"Afghanistan",2,1.09861228866811
"AFG",2018,"Afghanistan",5,1.79175946922805
"AFG",2019,"Afghanistan",1,0.693147180559945
"AFG",2020,"Afghanistan",1,0.693147180559945
"AFG",2021,"Afghanistan",11,2.484906649788
"AFG",2022,"Afghanistan",2,1.09861228866811
"AGO",2016,"Angola",28,3.36729582998647
"AGO",2020,"Angola",2,1.09861228866811
"AGO",2021,"Angola",2,1.09861228866811
"ALB",2014,"Albania",1,0.693147180559945
"ALB",2016,"Albania",2,1.09861228866811
"ALB",2018,"Albania",2,1.09861228866811
"ALB",2020,"Albania",1,0.693147180559945
"ALB",2021,"Albania",1,0.693147180559945
"ALB",2022,"Albania",14,2.70805020110221
"AND",2022,"Andorra",1,0.693147180559945
"ARE",2014,"United Arab Emirates",4,1.6094379124341
"ARE",2015,"United Arab Emirates",4,1.6094379124341
"ARE",2016,"United Arab Emirates",3,1.38629436111989
"ARE",2017,"United Arab Emirates",19,2.99573227355399
"ARE",2018,"United Arab Emirates",19,2.99573227355399
"ARE",2019,"United Arab Emirates",24,3.2188758248682
"ARE",2020,"United Arab Emirates",17,2.89037175789616
"ARE",2021,"United Arab Emirates",14,2.70805020110221
"ARE",2022,"United Arab Emirates",13,2.63905732961526
"ARG",2016,"Argentina",2,1.09861228866811
"ARG",2017,"Argentina",51,3.95124371858143
"ARG",2018,"Argentina",26,3.29583686600433
"ARG",2019,"Argentina",24,3.2188758248682
"ARG",2020,"Argentina",29,3.40119738166216
"ARG",2021,"Argentina",29,3.40119738166216
"ARG",2022,"Argentina",75,4.33073334028633
"ARM",2014,"Armenia",5,1.79175946922805
"ARM",2015,"Armenia",1,0.693147180559945
"ARM",2016,"Armenia",44,3.80666248977032
"ARM",2017,"Armenia",4,1.6094379124341
"ARM",2018,"Armenia",5,1.79175946922805
"ARM",2019,"Armenia",6,1.94591014905531
"ARM",2020,"Armenia",14,2.70805020110221
"ARM",2021,"Armenia",9,2.30258509299405
"ARM",2022,"Armenia",5,1.79175946922805
"ASM",2022,"American Samoa",1,0.693147180559945
"AUS",2014,"Australia",10,2.39789527279837
"AUS",2015,"Australia",24,3.2188758248682
"AUS",2016,"Australia",12,2.56494935746154
"AUS",2017,"Australia",114,4.74493212836325
"AUS",2018,"Australia",123,4.82028156560504
"AUS",2019,"Australia",115,4.75359019110636
"AUS",2020,"Australia",99,4.60517018598809
"AUS",2021,"Australia",104,4.65396035015752
"AUS",2022,"Australia",95,4.56434819146784
"AUT",2014,"Austria",1,0.693147180559945
"AUT",2015,"Austria",1,0.693147180559945
"AUT",2016,"Austria",3,1.38629436111989
"AUT",2017,"Austria",12,2.56494935746154
"AUT",2018,"Austria",12,2.56494935746154
"AUT",2019,"Austria",17,2.89037175789616
"AUT",2020,"Austria",16,2.83321334405622
"AUT",2021,"Austria",15,2.77258872223978
"AUT",2022,"Austria",23,3.17805383034795
"AZE",2014,"Azerbaijan",5,1.79175946922805
"AZE",2015,"Azerbaijan",6,1.94591014905531
"AZE",2016,"Azerbaijan",11,2.484906649788
"AZE",2017,"Azerbaijan",11,2.484906649788
"AZE",2018,"Azerbaijan",8,2.19722457733622
"AZE",2019,"Azerbaijan",6,1.94591014905531
"AZE",2020,"Azerbaijan",7,2.07944154167984
"AZE",2021,"Azerbaijan",1,0.693147180559945
"AZE",2022,"Azerbaijan",3,1.38629436111989
"BEL",2014,"Belgium",4,1.6094379124341
"BEL",2015,"Belgium",7,2.07944154167984
"BEL",2016,"Belgium",7,2.07944154167984
"BEL",2017,"Belgium",27,3.3322045101752
"BEL",2018,"Belgium",23,3.17805383034795
"BEL",2019,"Belgium",21,3.09104245335832
"BEL",2020,"Belgium",26,3.29583686600433
"BEL",2021,"Belgium",38,3.66356164612965
"BEL",2022,"Belgium",21,3.09104245335832
"BEN",2017,"Benin",1,0.693147180559945
"BEN",2020,"Benin",1,0.693147180559945
"BEN",2022,"Benin",1,0.693147180559945
"BES",2022,"Bonaire, Saint Eustatius and Saba",1,0.693147180559945
"BFA",2017,"Burkina Faso",3,1.38629436111989
"BGD",2014,"Bangladesh",1,0.693147180559945
"BGD",2015,"Bangladesh",2,1.09861228866811
"BGD",2016,"Bangladesh",5,1.79175946922805
"BGD",2017,"Bangladesh",21,3.09104245335832
"BGD",2018,"Bangladesh",17,2.89037175789616
"BGD",2019,"Bangladesh",28,3.36729582998647
"BGD",2020,"Bangladesh",19,2.99573227355399
"BGD",2021,"Bangladesh",15,2.77258872223978
"BGD",2022,"Bangladesh",19,2.99573227355399
"BGR",2015,"Bulgaria",1,0.693147180559945
"BGR",2017,"Bulgaria",11,2.484906649788
