"country","gci_tier","iso3c","year","gci_overall","gci_rank","source_slug"
"Afghanistan",NA,"AFG",2020,5.2,171,"d-str-gci.01-2021-htm-e"
"Afghanistan",5,"AFG",2024,10,NA,NA
"Angola",NA,"AGO",2020,12.99,151,"d-str-gci.01-2021-htm-e"
"Angola",4,"AGO",2024,37.5,NA,NA
"Albania",NA,"ALB",2020,64.32,80,"d-str-gci.01-2021-htm-e"
"Albania",2,"ALB",2024,90,NA,NA
"Andorra",NA,"AND",2020,26.38,117,"d-str-gci.01-2021-htm-e"
"Andorra",3,"AND",2024,70,NA,NA
"United Arab Emirates",NA,"ARE",2020,98.06,5,"d-str-gci.01-2021-htm-e"
"United Arab Emirates",1,"ARE",2024,97.5,NA,NA
"Argentina",NA,"ARG",2020,50.12,91,"d-str-gci.01-2021-htm-e"
"Argentina",4,"ARG",2024,37.5,NA,NA
"Armenia",NA,"ARM",2020,50.47,90,"d-str-gci.01-2021-htm-e"
"Armenia",4,"ARM",2024,37.5,NA,NA
"Antigua and Barbuda",NA,"ATG",2020,15.62,142,"d-str-gci.01-2021-htm-e"
"Australia",NA,"AUS",2020,97.47,12,"d-str-gci.01-2021-htm-e"
"Australia",1,"AUS",2024,97.5,NA,NA
"Austria",NA,"AUT",2020,93.89,29,"d-str-gci.01-2021-htm-e"
"Austria",2,"AUT",2024,90,NA,NA
"Azerbaijan",NA,"AZE",2020,89.31,40,"d-str-gci.01-2021-htm-e"
"Azerbaijan",2,"AZE",2024,90,NA,NA
"Burundi",NA,"BDI",2020,1.73,179,"d-str-gci.01-2021-htm-e"
"Burundi",5,"BDI",2024,10,NA,NA
"Belgium",NA,"BEL",2020,96.25,19,"d-str-gci.01-2021-htm-e"
"Belgium",1,"BEL",2024,97.5,NA,NA
"Benin",NA,"BEN",2020,80.06,56,"d-str-gci.01-2021-htm-e"
"Benin",2,"BEN",2024,90,NA,NA
"Burkina Faso",NA,"BFA",2020,39.98,96,"d-str-gci.01-2021-htm-e"
"Burkina Faso",3,"BFA",2024,70,NA,NA
"Bangladesh",NA,"BGD",2020,81.27,53,"d-str-gci.01-2021-htm-e"
"Bangladesh",1,"BGD",2024,97.5,NA,NA
"Bulgaria",NA,"BGR",2020,67.38,77,"d-str-gci.01-2021-htm-e"
"Bulgaria",3,"BGR",2024,70,NA,NA
"Bahrain",NA,"BHR",2020,77.86,60,"d-str-gci.01-2021-htm-e"
"Bahrain",1,"BHR",2024,97.5,NA,NA
"Bahamas",NA,"BHS",2020,13.37,147,"d-str-gci.01-2021-htm-e"
"Bahamas",4,"BHS",2024,37.5,NA,NA
"Bosnia and Herzegovina",NA,"BIH",2020,29.44,110,"d-str-gci.01-2021-htm-e"
"Bosnia and Herzegovina",4,"BIH",2024,37.5,NA,NA
"Belarus",NA,"BLR",2020,50.57,89,"d-str-gci.01-2021-htm-e"
"Belarus",3,"BLR",2024,70,NA,NA
"Belize",NA,"BLZ",2020,10.29,159,"d-str-gci.01-2021-htm-e"
"Belize",4,"BLZ",2024,37.5,NA,NA
"Bolivia (Plurinational State of)",NA,"BOL",2020,16.14,140,"d-str-gci.01-2021-htm-e"
"Bolivia (Plurinational",4,"BOL",2024,37.5,NA,NA
"Brazil",NA,"BRA",2020,96.6,18,"d-str-gci.01-2021-htm-e"
"Brazil",1,"BRA",2024,97.5,NA,NA
"Barbados",NA,"BRB",2020,16.89,139,"d-str-gci.01-2021-htm-e"
"Barbados",4,"BRB",2024,37.5,NA,NA
"Brunei Darussalam",NA,"BRN",2020,56.07,85,"d-str-gci.01-2021-htm-e"
"Brunei Darussalam",3,"BRN",2024,70,NA,NA
"Bhutan",NA,"BTN",2020,18.34,134,"d-str-gci.01-2021-htm-e"
"Bhutan",3,"BTN",2024,70,NA,NA
"Botswana",NA,"BWA",2020,53.06,88,"d-str-gci.01-2021-htm-e"
"Botswana",3,"BWA",2024,70,NA,NA
"Central African Rep.",NA,"CAF",2020,3.24,176,"d-str-gci.01-2021-htm-e"
"Central African Rep.",5,"CAF",2024,10,NA,NA
"Canada",NA,"CAN",2020,97.67,8,"d-str-gci.01-2021-htm-e"
"Canada",2,"CAN",2024,90,NA,NA
"Switzerland",NA,"CHE",2020,86.97,42,"d-str-gci.01-2021-htm-e"
"Switzerland",2,"CHE",2024,90,NA,NA
"Chile",NA,"CHL",2020,68.83,74,"d-str-gci.01-2021-htm-e"
"Chile",3,"CHL",2024,70,NA,NA
"China",NA,"CHN",2020,92.53,33,"d-str-gci.01-2021-htm-e"
"China",2,"CHN",2024,90,NA,NA
"Côte d'Ivoire",NA,"CIV",2020,67.82,75,"d-str-gci.01-2021-htm-e"
"Côte d'Ivoire",3,"CIV",2024,70,NA,NA
"Cameroon",NA,"CMR",2020,45.63,93,"d-str-gci.01-2021-htm-e"
"Cameroon",3,"CMR",2024,70,NA,NA
"Democratic Republic of the Congo",NA,"COD",2020,5.3,170,"d-str-gci.01-2021-htm-e"
"Democratic Republic of the Congo",3,"COD",2024,70,NA,NA
"Republic of the Congo",NA,"COG",2020,14.72,143,"d-str-gci.01-2021-htm-e"
"Republic of the Congo",4,"COG",2024,37.5,NA,NA
"Colombia",NA,"COL",2020,63.72,81,"d-str-gci.01-2021-htm-e"
"Colombia",3,"COL",2024,70,NA,NA
"Comoros",NA,"COM",2020,3.72,175,"d-str-gci.01-2021-htm-e"
"Comoros",4,"COM",2024,37.5,NA,NA
"Cape Verde",NA,"CPV",2020,17.74,136,"d-str-gci.01-2021-htm-e"
"Cape Verde",4,"CPV",2024,37.5,NA,NA
"Costa Rica",NA,"CRI",2020,67.45,76,"d-str-gci.01-2021-htm-e"
"Costa Rica",3,"CRI",2024,70,NA,NA
"Cuba",NA,"CUB",2020,58.76,82,"d-str-gci.01-2021-htm-e"
"Cuba",3,"CUB",2024,70,NA,NA
"Cyprus",NA,"CYP",2020,88.82,41,"d-str-gci.01-2021-htm-e"
"Cyprus",1,"CYP",2024,97.5,NA,NA
"Czech Republic",NA,"CZE",2020,74.37,68,"d-str-gci.01-2021-htm-e"
"Czech Republic",2,"CZE",2024,90,NA,NA
"Germany",NA,"DEU",2020,97.41,13,"d-str-gci.01-2021-htm-e"
"Germany",1,"DEU",2024,97.5,NA,NA
"Djibouti",NA,"DJI",2020,1.73,179,"d-str-gci.01-2021-htm-e"
"Djibouti",4,"DJI",2024,37.5,NA,NA
"Dominica",NA,"DMA",2020,4.2,174,"d-str-gci.01-2021-htm-e"
"Dominica",4,"DMA",2024,37.5,NA,NA
"Denmark",NA,"DNK",2020,92.6,32,"d-str-gci.01-2021-htm-e"
"Denmark",1,"DNK",2024,97.5,NA,NA
"Dominican Republic",NA,"DOM",2020,75.05,66,"d-str-gci.01-2021-htm-e"
"Dominican Republic",3,"DOM",2024,70,NA,NA
