"iso3c","country","region","admin_region","income_group","lending_type"
"ABW","Aruba","Latin America & Caribbean","","High income","Not classified"
"AFG","Afghanistan","Middle East, North Africa, Afghanistan & Pakistan","Middle East, North Africa, Afghanistan & Pakistan (excluding high income)","Low income","IDA"
"AGO","Angola","Sub-Saharan Africa","Sub-Saharan Africa (excluding high income)","Lower middle income","IBRD"
"ALB","Albania","Europe & Central Asia","Europe & Central Asia (excluding high income)","Upper middle income","IBRD"
"AND","Andorra","Europe & Central Asia","","High income","Not classified"
"ARE","United Arab Emirates","Middle East, North Africa, Afghanistan & Pakistan","","High income","Not classified"
"ARG","Argentina","Latin America & Caribbean","Latin America & Caribbean (excluding high income)","Upper middle income","IBRD"
"ARM","Armenia","Europe & Central Asia","Europe & Central Asia (excluding high income)","Upper middle income","IBRD"
"ASM","American Samoa","East Asia & Pacific","","High income","Not classified"
"ATG","Antigua and Barbuda","Latin America & Caribbean","","High income","IBRD"
"AUS","Australia","East Asia & Pacific","","High income","Not classified"
"AUT","Austria","Europe & Central Asia","","High income","Not classified"
"AZE","Azerbaijan","Europe & Central Asia","Europe & Central Asia (excluding high income)","Upper middle income","IBRD"
"BDI","Burundi","Sub-Saharan Africa","Sub-Saharan Africa (excluding high income)","Low income","IDA"
"BEL","Belgium","Europe & Central Asia","","High income","Not classified"
"BEN","Benin","Sub-Saharan Africa","Sub-Saharan Africa (excluding high income)","Lower middle income","IDA"
"BFA","Burkina Faso","Sub-Saharan Africa","Sub-Saharan Africa (excluding high income)","Low income","IDA"
"BGD","Bangladesh","South Asia","South Asia","Lower middle income","IDA"
"BGR","Bulgaria","Europe & Central Asia","","High income","IBRD"
"BHR","Bahrain","Middle East, North Africa, Afghanistan & Pakistan","","High income","Not classified"
"BHS","Bahamas, The","Latin America & Caribbean","","High income","Not classified"
"BIH","Bosnia and Herzegovina","Europe & Central Asia","Europe & Central Asia (excluding high income)","Upper middle income","IBRD"
"BLR","Belarus","Europe & Central Asia","Europe & Central Asia (excluding high income)","Upper middle income","IBRD"
"BLZ","Belize","Latin America & Caribbean","Latin America & Caribbean (excluding high income)","Upper middle income","Blend"
"BMU","Bermuda","North America","","High income","Not classified"
"BOL","Bolivia","Latin America & Caribbean","Latin America & Caribbean (excluding high income)","Lower middle income","IBRD"
"BRA","Brazil","Latin America & Caribbean","Latin America & Caribbean (excluding high income)","Upper middle income","IBRD"
"BRB","Barbados","Latin America & Caribbean","","High income","IBRD"
"BRN","Brunei Darussalam","East Asia & Pacific","","High income","Not classified"
"BTN","Bhutan","South Asia","South Asia","Lower middle income","IDA"
"BWA","Botswana","Sub-Saharan Africa","Sub-Saharan Africa (excluding high income)","Upper middle income","IBRD"
