"spec","model","outcome","income_group_model","regressor","term","estimate","std.error","p.value","estimate_fmt","std.error_fmt","p.value_fmt","nobs","outcome_label","regressor_label","conf.low","conf.high"
"Incidents vs readiness FE","gdp_growth__cyber_incidents_log","gdp_growth",NA,"cyber_incidents_log","l1_cyber_incidents_log",-0.120532167325546,0.227829738862271,0.597697742431429,"-0.121","(0.228)",0.598,860,"GDP growth","Incidents",-0.567078455495597,0.326014120844505
"Incidents vs readiness FE","gdp_growth__gci_overall","gdp_growth",NA,"gci_overall","l1_gci_overall",0.0342873198360648,0.0186566425357519,0.0679454002257257,"0.034+","(0.019)",0.068,1517,"GDP growth","GCI readiness (level)",-0.00227969953400892,0.0708543392061385
"Incidents vs readiness FE","gdp_growth__gci_overall_norm","gdp_growth",NA,"gci_overall_norm","l1_gci_overall_norm",0.81559469841355,2.89619548380338,0.778607229644088,"0.816","(2.896)",0.779,1517,"GDP growth","GCI readiness (percentile norm)",-4.86094844984108,6.49213784666818
"Incidents vs readiness FE","gdp_per_person_employed__cyber_incidents_log","gdp_per_person_employed",NA,"cyber_incidents_log","l1_cyber_incidents_log",808.261201212136,409.866104161412,0.0507986504486089,"808.261+","(409.866)",0.051,854,"Productivity","Incidents",4.92363705576849,1611.5987653685
"Incidents vs readiness FE","gdp_per_person_employed__gci_overall","gdp_per_person_employed",NA,"gci_overall","l1_gci_overall",-133.385110799216,41.642119989202,0.00165216257356503,"-133.385**","(41.642)",0.002,1463,"Productivity","GCI readiness (level)",-215.003665978052,-51.7665556203801
"Incidents vs readiness FE","gdp_per_person_employed__gci_overall_norm","gdp_per_person_employed",NA,"gci_overall_norm","l1_gci_overall_norm",-4478.85666716009,4816.9396644825,0.353922738000495,"-4478.857","(4816.940)",0.354,1463,"Productivity","GCI readiness (percentile norm)",-13920.0584095458,4962.34507522561
"Incidents vs readiness FE","gcf_gdp__cyber_incidents_log","gcf_gdp",NA,"cyber_incidents_log","l1_cyber_incidents_log",0.484657835521783,0.267651675190341,0.0725577747777142,"0.485+","(0.268)",0.073,850,"Investment share","Incidents",-0.0399394478512853,1.00925511889485
"Incidents vs readiness FE","gcf_gdp__gci_overall","gcf_gdp",NA,"gci_overall","l1_gci_overall",-0.0783108730270996,0.0486323326572009,0.109349083882339,"-0.078","(0.049)",0.109,1481,"Investment share","GCI readiness (level)",-0.173630245035213,0.0170084989810142
"Incidents vs readiness FE","gcf_gdp__gci_overall_norm","gcf_gdp",NA,"gci_overall_norm","l1_gci_overall_norm",-5.24188949513814,4.41321533314922,0.236717431326177,"-5.242","(4.413)",0.237,1481,"Investment share","GCI readiness (percentile norm)",-13.8917915481106,3.40801255783433
"Incidents vs readiness FE","employment_ratio__cyber_incidents_log","employment_ratio",NA,"cyber_incidents_log","l1_cyber_incidents_log",0.187497677202646,0.12573980120144,0.138400182787217,"0.187","(0.126)",0.138,857,"Employment ratio","Incidents",-0.0589523331521764,0.433947687557468
"Incidents vs readiness FE","employment_ratio__gci_overall","employment_ratio",NA,"gci_overall","l1_gci_overall",-0.0461509687888493,0.0133253785314528,0.000688696093085304,"-0.046***","(0.013)",0.001,1598,"Employment ratio","GCI readiness (level)",-0.0722687107104968,-0.0200332268672018
"Incidents vs readiness FE","employment_ratio__gci_overall_norm","employment_ratio",NA,"gci_overall_norm","l1_gci_overall_norm",-2.0560360264227,1.82869094793739,0.262603830173303,"-2.056","(1.829)",0.263,1598,"Employment ratio","GCI readiness (percentile norm)",-5.64027028437998,1.52819823153458
