"part","term","statistic","gdp_growth","gdp_per_person_employed","gcf_gdp","employment_ratio"
"estimates","l1_cyber_incidents_log","estimate","-0.121","808.261+","0.485+","0.187"
"estimates","l1_cyber_incidents_log","std.error","(0.228)","(409.866)","(0.268)","(0.126)"
"estimates","l1_inflation_cpi","estimate","0.000","-10.532","-0.016","-0.005"
"estimates","l1_inflation_cpi","std.error","(0.006)","(9.975)","(0.018)","(0.004)"
"estimates","l1_trade_gdp","estimate","-0.045","-14.537","0.015","0.027*"
"estimates","l1_trade_gdp","std.error","(0.043)","(49.952)","(0.021)","(0.012)"
"estimates","l1_population_total","estimate","-0.000","-0.000","0.000","-0.000"
"estimates","l1_population_total","std.error","(0.000)","(0.000)","(0.000)","(0.000)"
"gof","Num.Obs.","","860","854","850","857"
"gof","R2","","0.539","0.995","0.845","0.979"
"gof","R2 Adj.","","0.450","0.993","0.815","0.975"
"gof","R2 Within","","0.009","0.017","0.023","0.030"
"gof","R2 Within Adj.","","0.004","0.012","0.018","0.024"
"gof","AIC","","4901.6","16721.3","4398.3","3373.0"
"gof","BIC","","5567.5","17381.5","5057.9","4038.4"
"gof","RMSE","","3.55","3671.19","2.73","1.47"
"gof","FE: iso3c","","X","X","X","X"
"gof","FE: year","","X","X","X","X"
