"spec","model","outcome","income_group_model","regressor","term","estimate","std.error","p.value","estimate_fmt","std.error_fmt","p.value_fmt","nobs"
"Income-group heterogeneity FE","High income__gdp_growth__cyber_incidents_log","gdp_growth","High income","cyber_incidents_log","l1_cyber_incidents_log",-0.374588456711552,0.205787607413316,0.0745887441198318,"-0.375+","(0.206)","0.075",405
"Income-group heterogeneity FE","High income__gdp_growth__cyber_incidents_log","gdp_growth","High income","cyber_incidents_log","l1_inflation_cpi",-0.177204112822632,0.0488978180353809,0.000668767200842732,"-0.177***","(0.049)","0.001",405
"Income-group heterogeneity FE","High income__gdp_growth__cyber_incidents_log","gdp_growth","High income","cyber_incidents_log","l1_trade_gdp",-0.0209828568584009,0.0205676615494289,0.312455081534747,"-0.021","(0.021)","0.312",405
"Income-group heterogeneity FE","High income__gdp_growth__cyber_incidents_log","gdp_growth","High income","cyber_incidents_log","l1_population_total",-6.75751862876206e-09,9.45199897858612e-08,0.943285016194956,"-0.000","(0.000)","0.943",405
"Income-group heterogeneity FE","High income__gdp_growth__gci_overall","gdp_growth","High income","gci_overall","l1_gci_overall",0.0606101725506181,0.0238446973267771,0.0139285894113268,"0.061*","(0.024)","0.014",531
"Income-group heterogeneity FE","High income__gdp_growth__gci_overall","gdp_growth","High income","gci_overall","l1_inflation_cpi",-0.108902799091795,0.0656000390636648,0.102690657182206,"-0.109","(0.066)","0.103",531
"Income-group heterogeneity FE","High income__gdp_growth__gci_overall","gdp_growth","High income","gci_overall","l1_trade_gdp",-0.00333127962480629,0.0176076599633135,0.850649376668431,"-0.003","(0.018)","0.851",531
"Income-group heterogeneity FE","High income__gdp_growth__gci_overall","gdp_growth","High income","gci_overall","l1_population_total",4.77971718025367e-08,8.48133525052465e-08,0.575388471407607,"0.000","(0.000)","0.575",531
"Income-group heterogeneity FE","High income__gdp_growth__gci_overall_norm","gdp_growth","High income","gci_overall_norm","l1_gci_overall_norm",2.69285359316624,2.48010002568968,0.282397855838686,"2.693","(2.480)","0.282",531
"Income-group heterogeneity FE","High income__gdp_growth__gci_overall_norm","gdp_growth","High income","gci_overall_norm","l1_inflation_cpi",-0.124687268373563,0.0635410961762536,0.0548881953463443,"-0.125+","(0.064)","0.055",531
"Income-group heterogeneity FE","High income__gdp_growth__gci_overall_norm","gdp_growth","High income","gci_overall_norm","l1_trade_gdp",-0.00300432497464563,0.0173126310061344,0.862880819803829,"-0.003","(0.017)","0.863",531
"Income-group heterogeneity FE","High income__gdp_growth__gci_overall_norm","gdp_growth","High income","gci_overall_norm","l1_population_total",3.74207474088114e-08,8.68914126862979e-08,0.668428970327363,"0.000","(0.000)","0.668",531
"Income-group heterogeneity FE","High income__gdp_per_person_employed__cyber_incidents_log","gdp_per_person_employed","High income","cyber_incidents_log","l1_cyber_incidents_log",619.12128819118,662.835009694732,0.354679396327149,"619.121","(662.835)","0.355",405
