"part","term","statistic","gdp_growth__cyber_incidents_log","gdp_growth__gci_overall","gdp_per_person_employed__cyber_incidents_log","gdp_per_person_employed__gci_overall","gcf_gdp__cyber_incidents_log","gcf_gdp__gci_overall","employment_ratio__cyber_incidents_log","employment_ratio__gci_overall"
"estimates","l1_cyber_incidents_log","estimate","-0.121","","808.261+","","0.485+","","0.187",""
"estimates","l1_cyber_incidents_log","std.error","(0.228)","","(409.866)","","(0.268)","","(0.126)",""
"estimates","l1_inflation_cpi","estimate","0.000","","-10.532","","-0.016","","-0.005",""
"estimates","l1_inflation_cpi","std.error","(0.006)","","(9.975)","","(0.018)","","(0.004)",""
"estimates","l1_trade_gdp","estimate","-0.045","","-14.537","","0.015","","0.027*",""
"estimates","l1_trade_gdp","std.error","(0.043)","","(49.952)","","(0.021)","","(0.012)",""
"estimates","l1_population_total","estimate","-0.000","","-0.000","","0.000","","-0.000",""
"estimates","l1_population_total","std.error","(0.000)","","(0.000)","","(0.000)","","(0.000)",""
"estimates","gci_overall","estimate","","0.035","","-91.311***","","-0.008","","-0.006"
"estimates","gci_overall","std.error","","(0.026)","","(26.356)","","(0.039)","","(0.013)"
"estimates","inflation_cpi","estimate","","0.021*","","-44.606***","","0.009","","0.032***"
"estimates","inflation_cpi","std.error","","(0.009)","","(11.429)","","(0.009)","","(0.003)"
"estimates","trade_gdp","estimate","","0.186***","","24.703","","0.076*","","0.015"
"estimates","trade_gdp","std.error","","(0.047)","","(40.307)","","(0.033)","","(0.010)"
"estimates","population_total","estimate","","0.000","","-0.000","","-0.000","","0.000+"
"estimates","population_total","std.error","","(0.000)","","(0.000)","","(0.000)","","(0.000)"
"gof","Num.Obs.","","860","240","854","236","850","238","857","236"
"gof","R2","","0.539","0.728","0.995","0.997","0.845","0.868","0.979","0.989"
"gof","R2 Adj.","","0.450","0.434","0.993","0.994","0.815","0.725","0.975","0.978"
"gof","R2 Within","","0.009","0.169","0.017","0.098","0.023","0.046","0.030","0.075"
"gof","R2 Within Adj.","","0.004","0.140","0.012","0.066","0.018","0.012","0.024","0.042"
"gof","AIC","","4901.6","1487.3","16721.3","4642.5","4398.3","1394.9","3373.0","959.4"
"gof","BIC","","5567.5","1922.4","17381.5","5068.5","5057.9","1825.5","4038.4","1385.5"
"gof","RMSE","","3.55","3.19","3671.19","2685.63","2.73","2.69","1.47","1.10"
"gof","FE: iso3c","","X","X","X","X","X","X","X","X"
"gof","FE: year","","X","X","X","X","X","X","X","X"
