"spec","model","outcome","income_group_model","regressor","term","estimate","std.error","p.value","estimate_fmt","std.error_fmt","p.value_fmt","nobs"
"Incidents vs readiness FE","gdp_growth__cyber_incidents_log","gdp_growth",NA,"cyber_incidents_log","l1_cyber_incidents_log",-0.120532167325546,0.227829738862271,0.597697742431429,"-0.121","(0.228)","0.598",860
"Incidents vs readiness FE","gdp_growth__cyber_incidents_log","gdp_growth",NA,"cyber_incidents_log","l1_inflation_cpi",0.000331484120747452,0.00575657567996289,0.954170847521632,"0.000","(0.006)","0.954",860
"Incidents vs readiness FE","gdp_growth__cyber_incidents_log","gdp_growth",NA,"cyber_incidents_log","l1_trade_gdp",-0.0445741828053715,0.0427323067233295,0.298882264735292,"-0.045","(0.043)","0.299",860
"Incidents vs readiness FE","gdp_growth__cyber_incidents_log","gdp_growth",NA,"cyber_incidents_log","l1_population_total",-2.31856184239762e-08,1.77620902005559e-08,0.194136019176352,"-0.000","(0.000)","0.194",860
"Incidents vs readiness FE","gdp_growth__gci_overall","gdp_growth",NA,"gci_overall","l1_gci_overall",0.0342873198360648,0.0186566425357519,0.0679454002257257,"0.034+","(0.019)","0.068",1517
"Incidents vs readiness FE","gdp_growth__gci_overall","gdp_growth",NA,"gci_overall","l1_inflation_cpi",-0.00306391310016177,0.00692539300214622,0.658784799707037,"-0.003","(0.007)","0.659",1517
"Incidents vs readiness FE","gdp_growth__gci_overall","gdp_growth",NA,"gci_overall","l1_trade_gdp",-0.0204393587181235,0.0195337612954994,0.296972725321264,"-0.020","(0.020)","0.297",1517
"Incidents vs readiness FE","gdp_growth__gci_overall","gdp_growth",NA,"gci_overall","l1_population_total",-2.60394870552904e-08,2.15205418683951e-08,0.228070072912092,"-0.000","(0.000)","0.228",1517
"Incidents vs readiness FE","gdp_per_person_employed__cyber_incidents_log","gdp_per_person_employed",NA,"cyber_incidents_log","l1_cyber_incidents_log",808.261201212136,409.866104161412,0.0507986504486089,"808.261+","(409.866)","0.051",854
"Incidents vs readiness FE","gdp_per_person_employed__cyber_incidents_log","gdp_per_person_employed",NA,"cyber_incidents_log","l1_inflation_cpi",-10.5317553126516,9.9747126589844,0.29305909035049,"-10.532","(9.975)","0.293",854
"Incidents vs readiness FE","gdp_per_person_employed__cyber_incidents_log","gdp_per_person_employed",NA,"cyber_incidents_log","l1_trade_gdp",-14.537122607191,49.9521772243514,0.771513915200399,"-14.537","(49.952)","0.772",854
"Incidents vs readiness FE","gdp_per_person_employed__cyber_incidents_log","gdp_per_person_employed",NA,"cyber_incidents_log","l1_population_total",-2.13957526963429e-05,3.49173323620679e-05,0.541143049529983,"-0.000","(0.000)","0.541",854
"Incidents vs readiness FE","gdp_per_person_employed__gci_overall","gdp_per_person_employed",NA,"gci_overall","l1_gci_overall",-133.385110799216,41.642119989202,0.00165216257356503,"-133.385**","(41.642)","0.002",1463
"Incidents vs readiness FE","gdp_per_person_employed__gci_overall","gdp_per_person_employed",NA,"gci_overall","l1_inflation_cpi",-11.9582203342048,7.75727197088207,0.125235385053561,"-11.958","(7.757)","0.125",1463
"Incidents vs readiness FE","gdp_per_person_employed__gci_overall","gdp_per_person_employed",NA,"gci_overall","l1_trade_gdp",5.67549778363893,30.9961298481214,0.854957704848176,"5.675","(30.996)","0.855",1463
