"part","term","statistic","gdp_growth","gdp_per_person_employed","gcf_gdp","employment_ratio"
"estimates","l2_cyber_incidents_log","estimate","0.068","186.114","0.562*","0.176"
"estimates","l2_cyber_incidents_log","std.error","(0.291)","(335.800)","(0.248)","(0.143)"
"estimates","l3_cyber_incidents_log","estimate","0.042","733.820+","0.154","0.139"
"estimates","l3_cyber_incidents_log","std.error","(0.265)","(440.747)","(0.213)","(0.121)"
"estimates","l1_inflation_cpi","estimate","0.010**","-7.071","-0.005","-0.003"
"estimates","l1_inflation_cpi","std.error","(0.003)","(7.333)","(0.010)","(0.003)"
"estimates","l1_trade_gdp","estimate","0.011","23.069","0.012","0.002"
"estimates","l1_trade_gdp","std.error","(0.029)","(35.653)","(0.021)","(0.011)"
"estimates","l1_population_total","estimate","0.000","-0.000","0.000","0.000"
"estimates","l1_population_total","std.error","(0.000)","(0.000)","(0.000)","(0.000)"
"gof","Num.Obs.","","675","671","667","672"
"gof","R2","","0.622","0.996","0.861","0.986"
"gof","R2 Adj.","","0.538","0.995","0.831","0.983"
"gof","R2 Within","","0.005","0.019","0.015","0.017"
"gof","R2 Within Adj.","","-0.004","0.010","0.006","0.008"
"gof","AIC","","3657.2","13030.9","3337.9","2372.6"
"gof","BIC","","4212.5","13585.4","3887.3","2927.4"
"gof","RMSE","","3.03","3320.20","2.46","1.18"
"gof","FE: iso3c","","X","X","X","X"
"gof","FE: year","","X","X","X","X"
